date,ticker,gap_pct,change_open_pct,rsi14m,rvol
2023-10-13,NVDA,0.031952,0.031952,49.630794,1.055756
2023-10-13,TSLA,0.011589,0.011589,49.173452,0.822599
2023-10-16,AAPL,-1.174168,-1.174168,45.934212,0.764161
2023-10-16,AMD,0.314017,0.314017,41.052047,0.726189
2023-10-16,NVDA,-0.875476,-0.875476,44.451904,0.810845
2023-10-16,TSLA,-0.426091,-0.426091,30.184343,0.713802
2023-10-17,AAPL,-1.161034,-1.161034,66.931124,0.85466
2023-10-17,AMD,-2.742814,-2.742814,65.317804,0.911868
2023-10-17,NVDA,-4.544961,-4.544961,47.409795,1.775107
2023-10-17,TSLA,-1.504411,-1.504411,57.089517,0.767975
2023-10-18,AAPL,-0.886255,-0.886255,49.595749,0.782182
2023-10-18,AMD,-1.673959,-1.673959,61.86053,0.922501
2023-10-18,NVDA,-3.065683,-3.065683,63.275167,1.343072
2023-10-18,TSLA,-0.843634,-0.843634,33.6972,0.908421
2023-10-19,AAPL,0.11374,0.11374,35.156848,0.772721
2023-10-19,AMD,1.605168,1.605168,55.190661,0.956018
2023-10-19,NVDA,1.457484,1.457484,45.794597,1.036173
2023-10-19,TSLA,-6.893852,-6.893852,60.601699,1.342047
2023-10-20,AAPL,-0.08549,-0.08549,46.021014,0.880961
2023-10-20,AMD,-0.117188,-0.117188,51.748539,1.093209
2023-10-20,NVDA,-0.501176,-0.501176,36.817182,0.995527
2023-10-20,TSLA,-1.408387,-1.408387,42.244992,1.108945
2023-10-23,AAPL,-1.139519,-1.139519,40.519859,0.803753
2023-10-23,AMD,-0.980257,-0.980257,39.090141,0.939628
2023-10-23,NVDA,-0.381762,-0.381762,53.897768,0.998465
2023-10-23,TSLA,-0.938724,-0.938724,44.938506,1.205551
2023-10-24,AAPL,0.028902,0.028902,56.374645,0.648567
2023-10-24,AMD,0.959904,0.959904,63.572276,0.909325
2023-10-24,NVDA,0.237347,0.237347,69.375929,0.788745
2023-10-24,TSLA,2.084119,2.084119,62.466107,0.95096
2023-10-25,AAPL,-0.899446,-0.899446,50.004326,0.791189
2023-10-25,AMD,-1.229468,-1.229468,58.017182,0.942638
2023-10-25,NVDA,-0.606921,-0.606921,50.531455,0.801101
2023-10-25,TSLA,-0.295585,-0.295585,48.706955,0.861345
2023-10-26,AAPL,-0.426651,-0.426651,43.157737,1.047857
2023-10-26,AMD,-0.06767,-0.06767,36.806456,0.878705
2023-10-26,NVDA,0.177122,0.177122,40.089583,1.10948
2023-10-26,TSLA,-0.517842,-0.517842,36.278768,0.92355
2023-10-27,AAPL,0.011984,0.011984,73.362239,0.80864
2023-10-27,AMD,2.27394,2.27394,62.230392,0.944369
2023-10-27,NVDA,1.993751,1.993751,70.220391,0.863533
2023-10-27,TSLA,2.352255,2.352255,62.017312,0.764207
2023-10-30,AAPL,0.475568,0.475568,44.622151,0.793004
2023-10-30,AMD,-0.300736,-0.300736,38.759685,0.755669
2023-10-30,NVDA,1.449383,1.449383,38.966717,0.800228
2023-10-30,TSLA,0.955137,0.955137,47.97531,1.125829
2023-10-31,AAPL,-0.552,-0.552,50.738156,0.642373
2023-10-31,AMD,0.057184,0.057184,62.502906,1.20168
2023-10-31,NVDA,-1.727363,-1.727363,49.287585,1.087504
2023-10-31,TSLA,-0.628293,-0.628293,42.072405,0.950742
